cluster#	fragment_in_cluster	fragment_name	nearest_homolog
471	2	Aqu1.200636	AT3G05230.1
472	2	Aqu1.200638	AT1G74250.1
472	2	Aqu1.200639	AT1G74250.1
473	2	Aqu1.200640	AT5G61460.1
474	2	Aqu1.200642	AT5G42880.1
475	2	Aqu1.200643	AT4G02280.1
476	2	Aqu1.200645	AT3G26720.1
477	2	Aqu1.200646	AT5G08230.1
478	2	Aqu1.200647	AT4G30720.1
479	2	Aqu1.200649	AT1G02790.1
480	2	Aqu1.200650	AT5G18230.2
480	2	Aqu1.201064	AT5G18230.2
481	2	Aqu1.200651	AT3G61540.1
482	2	Aqu1.200652	AT2G43820.1
483	2	Aqu1.200653	AT1G63830.2
484	2	Aqu1.200654	AT3G46920.1
485	2	Aqu1.200656	AT4G38670.1
486	2	Aqu1.200657	AT1G34130.1
487	2	Aqu1.200658	AT4G19530.1
488	2	Aqu1.200659	AT5G26710.1
489	2	Aqu1.200660	AT5G37530.1
489	2	Aqu1.200819	AT5G37530.1
490	2	Aqu1.200661	AT1G72040.1
491	2	Aqu1.200663	AT1G51460.1
492	2	Aqu1.200664	AT1G02280.1
492	2	Aqu1.200716	AT1G02280.1
493	2	Aqu1.200665	AT3G20740.1
493	2	Aqu1.200837	AT3G20740.1
494	2	Aqu1.200668	AT2G40600.1
495	2	Aqu1.200671	AT5G12200.1
496	2	Aqu1.200672	AT4G09660.1
497	2	Aqu1.200677	AT2G31970.1
498	2	Aqu1.200679	AT1G66620.1
499	2	Aqu1.200681	AT2G41500.1
500	2	Aqu1.200682	AT1G70320.1
501	2	Aqu1.200683	AT5G65780.2
502	2	Aqu1.200684	AT1G06580.1
503	2	Aqu1.200685	AT5G19960.1
504	2	Aqu1.200688	AT2G42520.1
505	2	Aqu1.200689	AT5G63800.1
506	2	Aqu1.200690	AT3G57050.1
507	2	Aqu1.200691	AT1G28550.1
508	2	Aqu1.200693	AT4G11800.1
509	2	Aqu1.200694	AT5G18410.1
510	2	Aqu1.200696	AT1G35530.2
511	2	Aqu1.200697	AT1G42540.1
512	2	Aqu1.200698	AT4G11130.1
513	2	Aqu1.200700	AT2G30580.1
514	2	Aqu1.200701	AT5G54700.1
515	2	Aqu1.200702	AT4G10320.1
516	2	Aqu1.200703	AT1G30450.1
517	2	Aqu1.200704	AT3G11130.1
518	2	Aqu1.200705	AT1G24540.1
519	2	Aqu1.200706	AT5G42970.1
519	2	Aqu1.200765	AT5G42970.1
519	2	Aqu1.200910	AT5G42970.1
520	2	Aqu1.200707	AT3G11330.1
521	2	Aqu1.200708	AT1G68920.1
522	2	Aqu1.200709	AT3G55650.1
523	2	Aqu1.200710	AT5G64960.1
524	2	Aqu1.200711	AT4G25120.1
525	2	Aqu1.200715	AT5G42020.1
526	2	Aqu1.200717	AT1G09570.1
527	2	Aqu1.200718	AT3G46280.1
528	2	Aqu1.200719	AT3G59420.1
529	2	Aqu1.200720	AT5G44800.1
529	2	Aqu1.200945	AT5G44800.1
530	2	Aqu1.200722	AT2G17700.1
531	2	Aqu1.200724	AT1G26370.1
532	2	Aqu1.200725	AT1G57610.1
533	2	Aqu1.200726	AT5G11200.2
534	2	Aqu1.200730	AT5G41360.1
535	2	Aqu1.200732	AT2G04420.1
536	2	Aqu1.200734	AT1G50300.1
537	2	Aqu1.200735	AT4G23515.1
538	2	Aqu1.200736	AT2G44470.3
539	2	Aqu1.200737	AT1G27060.1
540	2	Aqu1.200740	AT2G01690.2
541	2	Aqu1.200741	AT4G09680.1
542	2	Aqu1.200742	AT1G56000.1
543	2	Aqu1.200743	AT5G13600.1
544	2	Aqu1.200744	AT2G06541.1
545	2	Aqu1.200745	AT3G15220.1
546	2	Aqu1.200746	ATMG00750.1
546	2	Aqu1.200961	ATMG00750.1
547	2	Aqu1.200747	AT4G28880.1
548	2	Aqu1.200748	AT3G14740.2
549	2	Aqu1.200750	AT4G21710.1
550	2	Aqu1.200751	AT3G06810.1
551	2	Aqu1.200752	AT4G38120.1
552	2	Aqu1.200753	AT4G36220.1
553	2	Aqu1.200754	AT2G47980.1
554	2	Aqu1.200755	AT3G09410.1
555	2	Aqu1.200756	AT3G45040.1
556	2	Aqu1.200757	AT3G57660.1
557	2	Aqu1.200758	AT1G66480.1
558	2	Aqu1.200759	AT4G31670.1
559	2	Aqu1.200760	AT2G24600.3
560	2	Aqu1.200761	AT1G75390.1
561	2	Aqu1.200766	AT2G46060.1
562	2	Aqu1.200768	AT5G19840.2
563	2	Aqu1.200770	AT5G07270.1
564	2	Aqu1.200772	AT3G13210.1
565	2	Aqu1.200774	AT3G29765.1
566	2	Aqu1.200775	AT3G29035.1
567	2	Aqu1.200776	AT5G01680.1
568	2	Aqu1.200777	AT4G04880.1
568	2	Aqu1.200854	AT4G04880.1
569	2	Aqu1.200778	AT1G77093.1
570	2	Aqu1.200780	AT4G33150.1
571	2	Aqu1.200781	AT5G59440.3
572	2	Aqu1.200785	AT3G56790.1
573	2	Aqu1.200786	AT3G58580.1
574	2	Aqu1.200787	AT5G37450.1
575	2	Aqu1.200788	AT1G13810.1
576	2	Aqu1.200789	AT5G27640.2
577	2	Aqu1.200790	AT4G34640.1
578	2	Aqu1.200794	AT4G26090.1
578	2	Aqu1.200921	AT4G26090.1
579	2	Aqu1.200795	AT3G13782.1
580	2	Aqu1.200796	AT3G21250.2
581	2	Aqu1.200797	AT4G17210.1
582	2	Aqu1.200801	AT1G35720.1
583	2	Aqu1.200802	AT5G48150.1
584	2	Aqu1.200803	AT2G42600.2
585	2	Aqu1.200804	AT3G08950.1
586	2	Aqu1.200805	AT5G19740.1
587	2	Aqu1.200806	AT1G31970.1
588	2	Aqu1.200807	AT3G61960.1
589	2	Aqu1.200808	AT4G38070.1
590	2	Aqu1.200809	AT1G76140.1
591	2	Aqu1.200811	AT3G49800.1
592	2	Aqu1.200812	AT1G36050.1
593	2	Aqu1.200813	AT3G10180.1
593	2	Aqu1.200903	AT3G10180.1
594	2	Aqu1.200815	AT1G79830.4
595	2	Aqu1.200817	AT2G32950.1
596	2	Aqu1.200818	AT4G00780.1
597	2	Aqu1.200820	AT1G55350.5
598	2	Aqu1.200822	AT2G19960.1
599	2	Aqu1.200823	AT2G07760.1
600	2	Aqu1.200824	AT4G25930.1
601	2	Aqu1.200825	AT5G11450.1
602	2	Aqu1.200826	AT1G64583.1
603	2	Aqu1.200827	AT4G26870.1
604	2	Aqu1.200828	AT5G35730.1
605	2	Aqu1.200829	AT2G34660.1
606	2	Aqu1.200831	AT3G21560.1
607	2	Aqu1.200834	AT4G21030.1
608	2	Aqu1.200835	AT1G79280.2
609	2	Aqu1.200836	AT5G35450.1
610	2	Aqu1.200838	AT4G24520.1
610	2	Aqu1.200970	AT4G24520.1
611	2	Aqu1.200839	AT5G61090.1
612	2	Aqu1.200840	AT1G09170.1
613	2	Aqu1.200843	AT1G79350.1
614	2	Aqu1.200845	AT1G52640.1
615	2	Aqu1.200846	AT4G26080.1
616	2	Aqu1.200847	AT1G56500.1
617	2	Aqu1.200848	AT5G45190.2
618	2	Aqu1.200849	AT3G57980.1
619	2	Aqu1.200850	AT3G02710.1
620	2	Aqu1.200851	AT1G64650.1
621	2	Aqu1.200853	AT2G14050.1
622	2	Aqu1.200855	AT5G39310.1
623	2	Aqu1.200856	AT5G01040.1
624	2	Aqu1.200860	AT3G10113.1
625	2	Aqu1.200862	AT1G29470.1
626	2	Aqu1.200863	AT3G62000.2
627	2	Aqu1.200864	AT3G11964.1
628	2	Aqu1.200865	AT2G26740.1
629	2	Aqu1.200866	AT2G42470.1
630	2	Aqu1.200867	AT2G18170.1
631	2	Aqu1.200868	AT1G15130.1
632	2	Aqu1.200869	AT3G24360.1
633	2	Aqu1.200870	AT2G20000.1
634	2	Aqu1.200871	AT3G29635.1
635	2	Aqu1.200873	AT2G38680.1
636	2	Aqu1.200874	AT3G04140.1
637	2	Aqu1.200875	AT2G26560.1
638	2	Aqu1.200876	AT3G09470.1
639	2	Aqu1.200878	AT1G49760.1
640	2	Aqu1.200879	AT1G53000.1
641	2	Aqu1.200881	AT2G27780.1
642	2	Aqu1.200882	AT2G29480.1
643	2	Aqu1.200883	AT3G26300.1
644	2	Aqu1.200884	AT1G25350.2
645	2	Aqu1.200885	AT1G60930.1
646	2	Aqu1.200886	AT5G36690.1
647	2	Aqu1.200887	AT1G05520.1
648	2	Aqu1.200888	AT3G48000.1
649	2	Aqu1.200889	AT4G10590.2
650	2	Aqu1.200890	AT5G03200.1
651	2	Aqu1.200892	AT2G26150.1
652	2	Aqu1.200893	AT4G31340.1
653	2	Aqu1.200894	AT3G58160.1
654	2	Aqu1.200896	AT2G32060.1
655	2	Aqu1.200898	AT3G05730.1
656	2	Aqu1.200901	AT2G20210.1
657	2	Aqu1.200902	AT3G26730.1
658	2	Aqu1.200904	AT5G42940.1
659	2	Aqu1.200905	AT4G01880.1
660	2	Aqu1.200907	AT3G58760.1
661	2	Aqu1.200909	AT4G29860.1
662	2	Aqu1.200911	AT2G30970.1
663	2	Aqu1.200914	AT1G43670.1
664	2	Aqu1.200915	AT4G26120.1
665	2	Aqu1.200916	AT3G47570.1
666	2	Aqu1.200918	AT4G21180.1
667	2	Aqu1.200919	AT1G63860.1
668	2	Aqu1.200920	AT3G09790.1
669	2	Aqu1.200922	AT3G29340.1
670	2	Aqu1.200923	AT3G44050.1
671	2	Aqu1.200925	AT3G51070.1
672	2	Aqu1.200926	AT5G13010.1
673	2	Aqu1.200928	AT1G09270.1
674	2	Aqu1.200930	AT4G16340.1
675	2	Aqu1.200931	AT1G23180.1
676	2	Aqu1.200933	AT5G48650.1
677	2	Aqu1.200936	AT1G09040.1
678	2	Aqu1.200938	AT5G38380.1
679	2	Aqu1.200941	AT2G21390.1
680	2	Aqu1.200942	AT4G13780.1
681	2	Aqu1.200943	ATMG00665.1
682	2	Aqu1.200944	AT1G62010.1
683	2	Aqu1.200948	AT5G50840.2
684	2	Aqu1.200949	AT5G41760.1
685	2	Aqu1.200951	AT5G44730.2
686	2	Aqu1.200955	AT4G18600.1
687	2	Aqu1.200959	AT4G00026.1
688	2	Aqu1.200960	AT2G19560.1
689	2	Aqu1.200963	AT1G02260.1
690	2	Aqu1.200964	AT5G23880.1
691	2	Aqu1.200965	AT5G67290.1
692	2	Aqu1.200967	AT5G14970.1
693	2	Aqu1.200968	AT5G16920.1
694	2	Aqu1.200969	AT4G38470.1
695	2	Aqu1.200971	AT5G08370.1
696	2	Aqu1.200972	AT5G20730.1
697	2	Aqu1.200973	AT3G17700.1
698	2	Aqu1.200975	AT5G41460.1
699	2	Aqu1.200976	ATMG00710.1
700	2	Aqu1.200977	AT4G38350.2
701	2	Aqu1.200978	AT5G50400.1
702	2	Aqu1.200979	AT2G19150.1
703	2	Aqu1.200980	AT5G44030.1
704	2	Aqu1.200981	AT4G17090.1
705	2	Aqu1.200982	AT5G66055.1
706	2	Aqu1.200983	AT3G12800.1
707	2	Aqu1.200984	AT1G77730.1
708	2	Aqu1.200985	AT5G15070.2
709	2	Aqu1.200987	AT2G35670.1
710	2	Aqu1.200989	AT4G14700.1
711	2	Aqu1.200991	AT1G05880.2
712	2	Aqu1.200992	AT1G73470.3
713	2	Aqu1.200993	AT3G20260.1
714	2	Aqu1.200994	AT1G10930.1
715	2	Aqu1.200995	AT5G45840.2
716	2	Aqu1.200996	AT2G06210.1
717	2	Aqu1.201000	AT3G30842.1
718	2	Aqu1.201002	AT1G77850.1
719	2	Aqu1.201003	AT1G31710.1
720	2	Aqu1.201004	AT3G28860.1
721	2	Aqu1.201005	AT1G56550.1
722	2	Aqu1.201006	AT2G01050.1
723	2	Aqu1.201008	AT1G73880.1
724	2	Aqu1.201010	AT1G29810.1
725	2	Aqu1.201011	AT5G61780.1
726	2	Aqu1.201012	AT4G39850.3
727	2	Aqu1.201013	AT4G12960.2
728	2	Aqu1.201014	AT2G01910.1
729	2	Aqu1.201015	AT4G26380.1
730	2	Aqu1.201016	AT5G19270.1
731	2	Aqu1.201017	AT1G13220.2
732	2	Aqu1.201019	AT1G28420.1
732	2	Aqu1.201084	AT1G28420.1
733	2	Aqu1.201020	AT3G63130.1
734	2	Aqu1.201022	AT5G48570.1
735	2	Aqu1.201027	AT1G20480.1
736	2	Aqu1.201028	AT5G04220.2
737	2	Aqu1.201029	AT1G21250.1
738	2	Aqu1.201030	AT1G76120.1
739	2	Aqu1.201032	AT1G04580.1
740	2	Aqu1.201033	AT2G34970.1
741	2	Aqu1.201034	AT2G27510.1
742	2	Aqu1.201035	AT5G53520.1
743	2	Aqu1.201036	AT1G47550.2
744	2	Aqu1.201038	AT2G35210.1
745	2	Aqu1.201039	AT1G61660.1
746	2	Aqu1.201041	AT2G44220.1
747	2	Aqu1.201043	AT5G20350.1
748	2	Aqu1.201046	AT3G28220.1
749	2	Aqu1.201048	AT1G76630.2
750	2	Aqu1.201049	AT2G24690.1
751	2	Aqu1.201050	AT3G62940.2
752	2	Aqu1.201051	AT2G35120.1
753	2	Aqu1.201052	AT5G57930.2
754	2	Aqu1.201053	AT4G00990.1
755	2	Aqu1.201054	AT5G46740.1
756	2	Aqu1.201056	AT5G19160.1
757	2	Aqu1.201057	AT2G47510.1
758	2	Aqu1.201061	AT3G24550.1
759	2	Aqu1.201062	AT2G24700.1
760	2	Aqu1.201063	AT5G45230.1
761	2	Aqu1.201066	AT1G78980.1
762	2	Aqu1.201067	AT5G52882.1
763	2	Aqu1.201068	AT1G50410.1
764	2	Aqu1.201069	AT4G16760.1
765	2	Aqu1.201070	AT2G39580.1
766	2	Aqu1.201072	AT5G07910.1
767	2	Aqu1.201073	AT4G13420.1
768	2	Aqu1.201074	AT5G58120.1
769	2	Aqu1.201075	AT1G64060.1
770	2	Aqu1.201076	AT3G17320.1
771	2	Aqu1.201077	AT1G09300.1
772	2	Aqu1.201079	AT2G02970.1
773	2	Aqu1.201081	AT2G31060.3
774	2	Aqu1.201082	AT2G30470.1
775	2	Aqu1.201086	AT2G27240.1
776	2	Aqu1.201087	AT5G08470.1
777	2	Aqu1.201088	AT4G00370.1
778	2	Aqu1.201089	AT1G29025.1
779	2	Aqu1.201090	AT1G34070.1
780	2	Aqu1.201091	AT1G50840.1
781	2	Aqu1.201092	AT1G73280.1
782	2	Aqu1.201093	AT2G34880.1
783	2	Aqu1.201094	AT2G28050.1
784	2	Aqu1.201095	AT1G62310.1
785	2	Aqu1.201096	AT5G28020.1
786	2	Aqu1.201097	AT2G17890.1
787	2	Aqu1.201098	AT3G19370.1
788	2	Aqu1.201099	AT3G43890.1
789	2	Aqu1.201100	AT4G29180.2
790	2	Aqu1.201101	AT2G42570.1
791	2	Aqu1.201102	AT1G65780.1
792	2	Aqu1.201103	AT1G76954.1
793	2	Aqu1.201104	AT2G02470.1
794	2	Aqu1.201106	AT1G31770.1
795	2	Aqu1.201107	AT5G42660.1
796	2	Aqu1.201108	AT3G16600.1
797	2	Aqu1.201109	AT5G50290.1
798	2	Aqu1.201110	AT1G02130.1
799	2	Aqu1.201111	AT1G74110.1
800	2	Aqu1.201113	AT3G02065.2
801	2	Aqu1.201114	AT4G18975.1
802	2	Aqu1.201117	AT3G18150.1
803	2	Aqu1.201118	AT1G01160.2
804	2	Aqu1.201120	AT4G28950.1
805	2	Aqu1.201122	AT5G60360.3
806	2	Aqu1.201124	AT5G59670.1
807	2	Aqu1.201125	AT2G33060.1
808	2	Aqu1.201126	AT3G57880.1
809	2	Aqu1.201127	AT5G66410.1
810	2	Aqu1.201128	AT3G24740.1
811	2	Aqu1.201129	AT4G39540.3
